city_name,year,month,price
Chongqing,2021,1,11950
Chongqing,2021,2,12715
Chongqing,2021,3,12214
Chongqing,2021,4,12767
Chongqing,2021,5,12198
Chongqing,2021,6,13232
Chongqing,2021,7,13462
Chongqing,2021,8,13622
Chongqing,2021,9,12644
Chongqing,2021,10,12878
Chongqing,2021,11,14479
Chongqing,2021,12,13024
Chongqing,2022,1,12761
Chongqing,2022,2,13787
Chongqing,2022,3,14020
Chongqing,2022,4,13658
Chongqing,2022,5,13910
Chongqing,2022,6,13258
Chongqing,2022,7,13884
Chongqing,2022,8,13605
Chongqing,2022,9,13779
Chongqing,2022,10,13918
Chongqing,2022,11,13987
Chongqing,2022,12,13498
Chongqing,2023,1,13851
Chongqing,2023,2,13717
Chongqing,2023,3,13012
Chongqing,2023,4,12952
Chongqing,2023,5,13452
Chongqing,2023,6,13584
Chongqing,2023,7,12836
Chongqing,2023,8,12332
Chongqing,2023,9,11955
Chongqing,2023,10,11866
Chongqing,2023,11,11734
Chongqing,2023,12,11501
Chongqing,2024,1,11554
Chongqing,2024,2,11610
Chongqing,2024,3,11580
Chongqing,2024,4,11374
Chongqing,2024,5,11230
Chongqing,2024,6,11315
Chongqing,2024,7,11017
Chongqing,2024,8,11057
Chongqing,2024,9,10748
Chongqing,2024,10,10815
Chongqing,2024,11,10695
Chongqing,2024,12,10457
Fuzhou,2015,1,14034
Fuzhou,2015,2,13991
Fuzhou,2015,3,13927
Fuzhou,2015,4,13876
Fuzhou,2015,5,14001
Fuzhou,2015,6,14110
Fuzhou,2015,7,14147
Fuzhou,2015,8,14066
Fuzhou,2015,9,14104
Fuzhou,2015,10,14236
Fuzhou,2015,11,14504
Fuzhou,2015,12,14578
Fuzhou,2016,1,14649
Fuzhou,2016,2,14752
Fuzhou,2016,3,14917
Fuzhou,2016,4,15216
Fuzhou,2016,5,15877
Fuzhou,2016,6,15834
Fuzhou,2016,7,16118
Fuzhou,2016,8,16642
Fuzhou,2016,9,17406
Fuzhou,2016,10,19261
Fuzhou,2016,11,18951
Fuzhou,2016,12,19823
Fuzhou,2017,1,20307
Fuzhou,2017,2,20629
Fuzhou,2017,3,21795
Fuzhou,2017,4,23197
Fuzhou,2017,5,24320
Fuzhou,2017,6,25293
Fuzhou,2017,7,25758
Fuzhou,2017,8,26189
Fuzhou,2017,9,26596
Fuzhou,2017,10,26952
Fuzhou,2017,11,27090
Fuzhou,2017,12,26773
Fuzhou,2018,1,26648
Fuzhou,2018,2,26734
Fuzhou,2018,3,26895
Fuzhou,2018,4,26665
Fuzhou,2018,5,26504
Fuzhou,2018,6,26604
Fuzhou,2018,7,26181
Fuzhou,2018,8,25921
Fuzhou,2018,9,26980
Fuzhou,2018,10,27360
Fuzhou,2018,11,27443
Fuzhou,2018,12,26973
Fuzhou,2019,1,26943
Fuzhou,2019,2,27520
Fuzhou,2019,3,26662
Fuzhou,2019,4,26904
Fuzhou,2019,5,26613
Fuzhou,2019,6,26120
Fuzhou,2019,7,26511
Fuzhou,2019,8,25972
Fuzhou,2019,9,25802
Fuzhou,2019,10,26630
Fuzhou,2019,11,26642
Fuzhou,2019,12,25666
Fuzhou,2020,1,25558
Fuzhou,2020,2,26234
Fuzhou,2020,3,27586
Fuzhou,2020,4,25435
Fuzhou,2020,5,25231
Fuzhou,2020,6,25984
Fuzhou,2020,7,25838
Fuzhou,2020,8,25760
Fuzhou,2020,9,25059
Fuzhou,2020,10,24796
Fuzhou,2020,11,25205
Fuzhou,2020,12,26656
Fuzhou,2021,1,26207
Fuzhou,2021,2,26229
Fuzhou,2021,3,26331
Fuzhou,2021,4,25510
Fuzhou,2021,5,25384
Fuzhou,2021,6,26542
Fuzhou,2021,7,27043
Fuzhou,2021,8,26676
Fuzhou,2021,9,26487
Fuzhou,2021,10,25522
Fuzhou,2021,11,25596
Fuzhou,2021,12,25950
Fuzhou,2022,1,26813
Fuzhou,2022,2,27859
Fuzhou,2022,3,27564
Fuzhou,2022,4,28456
Fuzhou,2022,5,26517
Fuzhou,2022,6,26646
Fuzhou,2022,7,26792
Fuzhou,2022,8,26709
Fuzhou,2022,9,27103
Fuzhou,2022,10,26128
Fuzhou,2022,11,26714
Fuzhou,2022,12,25157
Fuzhou,2023,1,26161
Fuzhou,2023,2,26411
Fuzhou,2023,3,26289
Fuzhou,2023,4,25249
Fuzhou,2023,5,26056
Fuzhou,2023,6,25147
Fuzhou,2023,7,25840
Fuzhou,2023,8,24089
Fuzhou,2023,9,23609
Fuzhou,2023,10,23801
Fuzhou,2023,11,23000
